app,recall,precision
Model Dermatol,0.5561797752808989,1
Model Dermatol,0.5617977528089888,1
Model Dermatol,0.5674157303370787,1
Model Dermatol,0.5730337078651685,1
Model Dermatol,0.5786516853932584,1
Model Dermatol,0.5842696629213483,1
Model Dermatol,0.5898876404494382,1
Model Dermatol,0.5955056179775281,1
Model Dermatol,0.6067415730337079,1
Model Dermatol,0.6123595505617978,1
Model Dermatol,0.6179775280898876,1
Model Dermatol,0.6235955056179775,1
Model Dermatol,0.6292134831460674,1
Model Dermatol,0.6460674157303371,1
Model Dermatol,0.651685393258427,1
Model Dermatol,0.6573033707865169,1
Model Dermatol,0.6685393258426966,1
Model Dermatol,0.6797752808988764,1
Model Dermatol,0.6910112359550562,1
Model Dermatol,0.6966292134831461,1
Model Dermatol,0.7134831460674157,1
Model Dermatol,0.7191011235955056,0.9922480620155039
Model Dermatol,0.7303370786516854,0.9923664122137404
Model Dermatol,0.7471910112359551,0.9925373134328358
Model Dermatol,1,0.7705627705627706
