target,app,n,positive_n,negative_n,tp,fn,tn,fp,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,stratum
malignant_vs_benign,Claude,70,58,12,44,14,12,0,0.7586206896551724,0.6347001974698658,0.8504112564333051,1,0.7575059933447593,1,1,0.9197043962415193,0.9999999999999999,0.46153846153846156,0.28755853530391223,0.6454206125314121,0.8,0.6918335550374695,0.8769526075163705,V-VI
malignant_vs_benign,Model Dermatol,81,60,21,40,20,21,0,0.6666666666666666,0.5405686645211968,0.7727073847647731,1,0.8453609810751531,0.9999999999999999,1,0.9123783988027133,0.9999999999999999,0.5121951219512195,0.3648450865154381,0.6574557044556734,0.7530864197530864,0.649157421322665,0.8340968811127794,I-II
malignant_vs_benign,Model Dermatol,80,60,20,39,21,20,0,0.65,0.5236261884175486,0.7583222559398244,1,0.8388748419471808,1,1,0.9103331462924287,1,0.4878048780487805,0.34254429554432664,0.6351549134845619,0.7375,0.6318104033557184,0.8214259851149064,III-IV
malignant_vs_benign,Model Dermatol,70,58,12,31,27,12,0,0.5344827586206896,0.40800175043995207,0.6566797767471373,1,0.7575059933447593,1,1,0.889744604539564,1,0.3076923076923077,0.1856593230691114,0.464212543741493,0.6142857142857143,0.4971573558930424,0.719523086984611,V-VI
melanoma_vs_rest,AI Skin Scanner,81,20,61,7,13,58,3,0.35,0.18119182410108212,0.56714572331476365,0.9508196721311475,0.8650887247278409,0.9831340173312375,0.7,0.39677814746114537,0.8922087325936989,0.8169014084507042,0.7115182772560876,0.889752738957151,0.8024691358024691,0.7029560930488835,0.8745917318129889,I-II
melanoma_vs_rest,AI Skin Scanner,80,20,60,13,7,60,0,0.65,0.43285427668523635,0.8188081758989179,1,0.93982814785791,0.9999999999999998,1,0.7719046276458017,1,0.8955223880597015,0.7996871695126198,0.9484623023121714,0.9125,0.83023204491525,0.9569679982179402,III-IV
melanoma_vs_rest,AI Skin Scanner,70,20,50,10,10,49,1,0.5,0.2992980081982124,0.7007019918017876,0.98,0.8950455641036219,0.9964607407283539,0.9090909090909091,0.6226415635484046,0.9837678271141153,0.8305084745762712,0.71536779263512,0.9052416065081895,0.8428571428571429,0.7401175342315778,0.909923794401382,V-VI
melanoma_vs_rest,ChatGPT,81,20,61,10,10,61,0,0.5,0.2992980081982124,0.7007019918017876,1,0.9407561321018871,1,1,0.7224672001371109,1,0.8591549295774648,0.759782507165242,0.9216579778764282,0.8765432098765432,0.7874492676202322,0.9315388408812825,I-II
melanoma_vs_rest,ChatGPT,80,20,60,9,11,60,0,0.45,0.25819785825562425,0.6579146575496576,1,0.93982814785791,0.9999999999999998,1,0.700854951580456,0.9999999999999999,0.8450704225352113,0.7434903714672241,0.9112269572983023,0.8625,0.7703289993301341,0.9214528567566089,III-IV
melanoma_vs_rest,ChatGPT,70,20,50,8,12,49,1,0.4,0.21880653237281714,0.6134184992377468,0.98,0.8950455641036219,0.9964607407283539,0.8888888888888888,0.565000294423344,0.980109112361455,0.8032786885245902,0.6869005942449246,0.8837219776857282,0.8142857142857143,0.7077442179325669,0.8881269999809797,V-VI
melanoma_vs_rest,Claude,81,20,61,13,7,61,0,0.65,0.43285427668523635,0.8188081758989179,1,0.9407561321018871,1,1,0.7719046276458017,1,0.8970588235294118,0.8024208869063437,0.9492342282100709,0.9135802469135802,0.8322008336612948,0.9575074166600407,I-II
melanoma_vs_rest,Claude,80,20,60,12,8,60,0,0.6,0.38658150076225317,0.7811934676271829,1,0.93982814785791,0.9999999999999998,1,0.7575059933447593,1,0.8823529411764706,0.784650962802083,0.9391650739766866,0.9,0.8148931119389592,0.9484523844326193,III-IV
melanoma_vs_rest,Claude,70,20,50,10,10,49,1,0.5,0.2992980081982124,0.7007019918017876,0.98,0.8950455641036219,0.9964607407283539,0.9090909090909091,0.6226415635484046,0.9837678271141153,0.8305084745762712,0.71536779263512,0.9052416065081895,0.8428571428571429,0.7401175342315778,0.909923794401382,V-VI
melanoma_vs_rest,Model Dermatol,81,20,61,10,10,31,30,0.5,0.2992980081982124,0.7007019918017876,0.5081967213114754,0.38602618491091173,0.6293960467628897,0.25,0.14187118639096308,0.4019396142076802,0.7560975609756098,0.6065666377742431,0.8617499726190967,0.5061728395061729,0.3995078470731793,0.6122788432301242,I-II
melanoma_vs_rest,Model Dermatol,80,20,60,12,8,33,27,0.6,0.38658150076225317,0.7811934676271829,0.55,0.4249193588533435,0.6690634559324476,0.3076923076923077,0.1856593230691114,0.464212543741493,0.8048780487804879,0.6598641481293658,0.8976556261484198,0.5625,0.45341134296949726,0.6658613908385618,III-IV
melanoma_vs_rest,Model Dermatol,70,20,50,8,12,28,22,0.4,0.21880653237281714,0.6134184992377468,0.56,0.42306028021656866,0.6883780078874284,0.26666666666666666,0.14182663319596325,0.44447961695188887,0.7,0.5456998118185507,0.8192515477025347,0.5142857142857142,0.3995438391900924,0.6275412161696142,V-VI
squamous_cell_carcinoma_vs_rest,AI Skin Scanner,81,20,61,5,15,58,3,0.25,0.11186170140766569,0.4687008776187439,0.9508196721311475,0.8650887247278409,0.9831340173312375,0.625,0.30574239460262737,0.8631557141764026,0.7945205479452054,0.6882634698485864,0.8713302788898184,0.7777777777777778,0.6758471376953772,0.8545539259532811,I-II
squamous_cell_carcinoma_vs_rest,AI Skin Scanner,80,20,60,2,18,59,1,0.1,0.027866481213768224,0.3010336452284872,0.9833333333333333,0.9114487027240993,0.9970518402052136,0.6666666666666666,0.20765960080204776,0.9385080552796037,0.7662337662337663,0.6604617147211471,0.846703799089505,0.7625,0.6585922106615945,0.8423532713322537,III-IV
squamous_cell_carcinoma_vs_rest,AI Skin Scanner,70,20,50,4,16,49,1,0.2,0.08065766257979803,0.41601743225189347,0.98,0.8950455641036219,0.9964607407283539,0.8,0.37553462976252533,0.9637758913675698,0.7538461538461538,0.6369421680412217,0.8424201314410202,0.7571428571428571,0.6450496077036256,0.8424813887710942,V-VI
squamous_cell_carcinoma_vs_rest,ChatGPT,81,20,61,9,11,56,5,0.45,0.25819785825562425,0.6579146575496576,0.9180327868852459,0.8220533819707466,0.9644804333931264,0.6428571428571429,0.387644231039074,0.8365526824644587,0.835820895522388,0.7294473706077897,0.9057738790547687,0.8024691358024691,0.7029560930488835,0.8745917318129889,I-II
squamous_cell_carcinoma_vs_rest,ChatGPT,80,20,60,5,15,58,2,0.25,0.11186170140766569,0.4687008776187439,0.9666666666666667,0.886362257256914,0.9908106807438021,0.7142857142857143,0.3589344518326194,0.9177810759959433,0.7945205479452054,0.6882634698485864,0.8713302788898184,0.7875,0.6857784426940334,0.8628761328230385,III-IV
squamous_cell_carcinoma_vs_rest,ChatGPT,70,20,50,7,13,48,2,0.35,0.18119182410108212,0.56714572331476365,0.96,0.8653990931249298,0.9889611156723801,0.7777777777777778,0.452588969106989,0.9367748928821532,0.7868852459016393,0.6687758459836244,0.8710022625994256,0.7857142857142857,0.6760881373652111,0.865612969828922,V-VI
squamous_cell_carcinoma_vs_rest,Claude,81,20,61,14,6,54,7,0.7,0.4810271816464765,0.8545227551323956,0.8852459016393442,0.7815569152759893,0.9432879733926779,0.6666666666666666,0.4537345197425525,0.8280524739491651,0.9,0.7985053527602123,0.9533571655261158,0.8395061728395061,0.7445295089488065,0.9037384577328867,I-II
squamous_cell_carcinoma_vs_rest,Claude,80,20,60,9,11,54,6,0.45,0.25819785825562425,0.6579146575496576,0.9,0.7985053527602123,0.9533571655261158,0.6,0.3574683012062462,0.8017550385865843,0.8307692307692308,0.7218357836377647,0.9027878187178839,0.7875,0.6857784426940334,0.8628761328230385,III-IV
squamous_cell_carcinoma_vs_rest,Claude,70,20,50,8,12,45,5,0.4,0.21880653237281714,0.6134184992377468,0.9,0.7863976856252035,0.9565242350681096,0.6153846153846154,0.35522891512665694,0.8229029220223743,0.7894736842105263,0.6671387891680949,0.8752545169696542,0.7571428571428571,0.6450496077036256,0.8424813887710942,V-VI
squamous_cell_carcinoma_vs_rest,Model Dermatol,81,20,61,14,6,35,26,0.7,0.4810271816464765,0.8545227551323956,0.5737704918032787,0.44895230444946566,0.6898477806147472,0.35,0.22134528873176296,0.504941191627423,0.8536585365853658,0.7155654195751905,0.9311575185870408,0.6049382716049383,0.49605477323606173,0.7043189619200981,I-II
squamous_cell_carcinoma_vs_rest,Model Dermatol,80,20,60,10,10,31,29,0.5,0.2992980081982124,0.7007019918017876,0.5166666666666667,0.393078100325925,0.6382495046026722,0.2564102564102564,0.14568780540992585,0.41081655921683957,0.7560975609756098,0.6065666377742431,0.8617499726190967,0.5125,0.4049333421654226,0.6189212045961893,III-IV
squamous_cell_carcinoma_vs_rest,Model Dermatol,70,20,50,8,12,27,23,0.4,0.21880653237281714,0.6134184992377468,0.54,0.4039887139915749,0.6703034780777565,0.25806451612903225,0.13701705906393746,0.43246135809433794,0.6923076923076923,0.535787456258507,0.8143406769308885,0.5,0.3859571764530239,0.614042823546976,V-VI
