app,fpr,tpr
Model Dermatol,0,0.5280898876404494
Model Dermatol,0,0.5337078651685393
Model Dermatol,0,0.5393258426966292
Model Dermatol,0,0.550561797752809
Model Dermatol,0,0.5561797752808989
Model Dermatol,0,0.5617977528089888
Model Dermatol,0,0.5674157303370787
Model Dermatol,0,0.5730337078651685
Model Dermatol,0,0.5786516853932584
Model Dermatol,0,0.5842696629213483
Model Dermatol,0,0.5898876404494382
Model Dermatol,0,0.5955056179775281
Model Dermatol,0,0.6067415730337079
Model Dermatol,0,0.6123595505617978
Model Dermatol,0,0.6179775280898876
Model Dermatol,0,0.6235955056179775
Model Dermatol,0,0.6292134831460674
Model Dermatol,0,0.6460674157303371
Model Dermatol,0,0.651685393258427
Model Dermatol,0,0.6573033707865169
Model Dermatol,0,0.6685393258426966
Model Dermatol,0,0.6797752808988764
Model Dermatol,0,0.6910112359550562
Model Dermatol,0,0.6966292134831461
Model Dermatol,0,0.7134831460674157
Model Dermatol,0.018867924528301886,0.7191011235955056
Model Dermatol,0.018867924528301886,0.7303370786516854
Model Dermatol,0.018867924528301886,0.7471910112359551
Model Dermatol,1,1
